id,state,city,klan_number,nickname,notes,latitude,longitude,year,sources
2165,New Jersey,Paterson,15,,,40.9151147,-74.2379262,1922,"Ku Klux Protest Honor To Late Dean, New York Times, 22 June 1922"
2166,New York,Maine,13,,,42.1925727,-76.0785886,1925,"Ku Klux Klan material from Maine, New York, Ms. Coll. 1338, University of Pennsylvania, Kislak Center for Special Collections, Rare Books and Manuscripts"
2167,New York,Nineveh,21,Susquehanna Valley Klan,charter dated 17 November 1925,42.1942442,-75.6199166,1925,"Binghamton (NY) Press and Sun-Bulletin, 16 August 1960"
2168,New York,New York City,51,,"on letterhead with Imperial Palace logo and Klan No. 51 typed below, though the message was signed Klan No. 21.",40.6971478,-74.2605469,1922,"Candidate Charges Ku Klux Threat, New York Times, 2 October 1922"
2169,North Carolina,Greensboro,19,Gate City Klan,,36.0999317,-80.1142465,1924,"Raleigh Carolina Jeffersonian, 11 December 1924"
2170,North Carolina,Gastonia,24,Gastonian Klan,,35.2366354,-81.342564,1925,"Raleigh Carolina Jeffersonian, 28 July 1925"
2171,North Carolina,Fayetteville,33,Tolar Powers Klan,,35.0745951,-79.0926581,1924,"Raleigh Carolina Jeffersonian, 18 December 1924"
2172,North Carolina,Winston-Salem,56,,,36.1042443,-80.524326,1925,"Raleigh Carolina Jeffersonian, 1 September 1925"
2173,North Carolina,Selma,80,,,35.5461867,-78.3640028,1925,"Raleigh Carolina Jeffersonian, 5 February 1925"
2174,North Carolina,Goldsboro,83,,,35.3786458,-78.1188645,1925,"Raleigh Carolina Jeffersonian, 8 September 1925"
2175,North Carolina,Lillington,85,,,35.4035636,-78.8748579,1924,"Raleigh Carolina Jeffersonian, 18 December 1924"
2176,North Carolina,Greenville,89,,,35.6028514,-77.5177815,1925,"Raleigh Carolina Jeffersonian, 8 September 1925"
2177,North Carolina,Rutherfordton,93,,,35.3693119,-82.0007597,1925,"Raleigh Carolina Jeffersonian, 7 July 1925"
2178,North Carolina,West Jefferson,107,Ashe Klan,,36.3876708,-81.5232011,1925,"Raleigh Carolina Jeffersonian, 14 July 1925"
2179,North Carolina,Kelford,109,,,36.1809788,-77.2327327,1925,"Raleigh Carolina Jeffersonian, 29 September 1925"
2180,North Carolina,Mocksville,118,,,35.9031795,-80.6331909,1925,"Raleigh Carolina Jeffersonian, 8 September 1925"
2181,North Carolina,Shelbyville,123,,,35.2847049,-81.6877527,1925,"Raleigh Carolina Jeffersonian, 15 September 1925"
2182,North Carolina,Chatham City,132,Bon Lee Klan,,35.7323531,-79.5222694,1925,"Raleigh Carolina Jeffersonian, 24 October 1925"
2183,North Carolina,Gatesville,136,,,36.4085707,-76.7795105,1925,"Raleigh Carolina Jeffersonian, 8 September 1925"
2184,North Carolina,Charlotte,143,Hornet’s Nest Klan,,35.2028292,-81.1206974,1927,"Charlotte News, 23 February 1927"
2185,Ohio,Knox County,10,,,40.404732,-83.0266951,1932,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #2, 2 February 1932, Box 1, Folder 6"
2186,Ohio,Grand,12,,,40.6653912,-83.4324937,1932,"Indiana Historical Society, M407, IN HIST SOC, KKK-Wayne County, Bulletin #8, 7 July 1932, Box 1, Folder 4"
2187,Ohio,Huron County,18,,,41.1411249,-82.8698513,1932,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #2, 2 February 1932, Box 1, Folder 6"
2188,Ohio,Hocking County,35,,,39.510283,-83.015665,1932,"Indiana Historical Society, M407, IN HIST SOC, KKK-Wayne County, Bulletin #8, 7 July 1932, Box 1, Folder 4"
2189,Ohio,Wayne County,43,,,40.8283879,-82.1693149,1932,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #2, 2 February 1932, Box 1, Folder 6"
2190,Ohio,Jackson County,44,,,39.0258856,-82.8967502,1932,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #4, 11 April 1932, Box 1, Folder 6"
2191,Ohio,Pandora,51,,,40.9459621,-83.9798184,1932,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #4, 11 April 1932, Box 1, Folder 6"
2192,Ohio,Alliance,52,,,40.9117137,-81.1923397,1932,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #2, 2 February 1932, Box 1, Folder 6"
2193,Ohio,Eaton,56,,,39.7520562,-84.672617,1925,"Indiana Historical Society, M407, IN HIST SOC, KKK-Wayne County, letter, 19 June 1925, Box 1, Folder 1"
2194,Ohio,Shelby County,82,,,40.3332209,-84.4991501,1932,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #4, 11 April 1932, Box 1, Folder 6"
2195,Ohio,Defiance,101,,,41.27956,-84.4479098,1932,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #4, 11 April 1932, Box 1, Folder 6"
2196,Ohio,Henry County,104,,,41.3263786,-84.3923957,1932,"Indiana Historical Society, M407, IN HIST SOC, KKK-Wayne County, Bulletin #8, 7 July 1932, Box 1, Folder 4"
2197,Ohio,Brown County,111,,,38.9300316,-83.8874751,1932,"Indiana Historical Society, M407, IN HIST SOC, KKK-Wayne County, Bulletin #8, 7 July 1932, Box 1, Folder 4"
2198,Ohio,Indian View,118,,,39.1447788,-84.3729369,1932,"Indiana Historical Society, M407, IN HIST SOC, KKK-Wayne County, Bulletin #8, 7 July 1932, Box 1, Folder 4"
2199,Ohio,Cincinnati (Western Hills),122,,,39.127887,-84.6232363,1927,"Indiana Historical Society, M407, IN HIST SOC, KKK-Wayne County, letter, n. d. [1927],  Box 1, Folder 2"
2200,Ohio,East Palestine,140,,,40.8406626,-80.5851676,1932,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #2, 2 February 1932, Box 1, Folder 6"
2201,Ohio,Wadsworth,155,,,41.0311156,-81.8031562,1932,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #2, 2 February 1932, Box 1, Folder 6"
2202,Ohio,Boardman,169,,,41.0246707,-80.7336726,1932,"Indiana Historical Society, M407, IN HIST SOC, KKK-Wayne County, Bulletin #8, 7 July 1932, Box 1, Folder 4"
